chart_id,chart_type,level,repeat,condition,model_alias,question_id,question_kind,expected_answer,given_answer,exact_match,tolerance_match,parse_ok
bar_level1_rep1,bar,1,1,image,claude-sonnet-4-5,1,exact_value,19.0,19,1,1,1
bar_level1_rep1,bar,1,1,image,claude-sonnet-4-5,2,difference,3.0,3.5,0,0,1
bar_level1_rep1,bar,1,1,image,claude-sonnet-4-5,3,extremum,1. mérés,1. mérés,1,1,1
bar_level1_rep1,bar,1,1,image,claude-sonnet-4-5,4,aggregate,32.2,32.75,0,1,1
bar_level1_rep1,bar,1,1,image,haiku,1,exact_value,19.0,20,0,0,1
bar_level1_rep1,bar,1,1,image,haiku,2,difference,3.0,5,0,0,1
bar_level1_rep1,bar,1,1,image,haiku,3,extremum,1. mérés,1. mérés,1,1,1
bar_level1_rep1,bar,1,1,image,haiku,4,aggregate,32.2,31.75,0,1,1
bar_level1_rep1,bar,1,1,image,opus,1,exact_value,19.0,"kb. 18,5 V",0,1,1
bar_level1_rep1,bar,1,1,image,opus,2,difference,3.0,"kb. 2,5 V (a 3. mérés ennyivel nagyobb, mint a 4.)",0,0,1
bar_level1_rep1,bar,1,1,image,opus,3,extremum,1. mérés,1. mérés,1,1,1
bar_level1_rep1,bar,1,1,image,opus,4,aggregate,32.2,kb. 32 V,0,1,1
bar_level1_rep1,bar,1,1,image,sonnet,1,exact_value,19.0,"≈ 16,5 V",0,0,1
bar_level1_rep1,bar,1,1,image,sonnet,2,difference,3.0,≈ 1 V,0,0,1
bar_level1_rep1,bar,1,1,image,sonnet,3,extremum,1. mérés,1. mérés (≈ 62 V),1,1,1
bar_level1_rep1,bar,1,1,image,sonnet,4,aggregate,32.2,"≈ 30,75 V",0,1,1
bar_level1_rep2,bar,1,2,image,claude-sonnet-4-5,1,exact_value,34.0,34,1,1,1
bar_level1_rep2,bar,1,2,image,claude-sonnet-4-5,2,difference,33.0,34,0,1,1
bar_level1_rep2,bar,1,2,image,claude-sonnet-4-5,3,extremum,2. mérés,2. mérés,1,1,1
bar_level1_rep2,bar,1,2,image,claude-sonnet-4-5,4,aggregate,50.0,51.25,0,1,1
bar_level1_rep2,bar,1,2,image,haiku,1,exact_value,34.0,32,0,0,1
bar_level1_rep2,bar,1,2,image,haiku,2,difference,33.0,32,0,1,1
bar_level1_rep2,bar,1,2,image,haiku,3,extremum,2. mérés,2. mérés,1,1,1
bar_level1_rep2,bar,1,2,image,haiku,4,aggregate,50.0,47.75,0,1,1
bar_level1_rep2,bar,1,2,image,opus,1,exact_value,34.0,kb. 34 V,1,1,1
bar_level1_rep2,bar,1,2,image,opus,2,difference,33.0,"kb. 33 V (1. mérés ~67 V, 3. mérés ~34 V)",1,1,1
bar_level1_rep2,bar,1,2,image,opus,3,extremum,2. mérés,2. mérés,1,1,1
bar_level1_rep2,bar,1,2,image,opus,4,aggregate,50.0,kb. 50 V,1,1,1
bar_level1_rep2,bar,1,2,image,sonnet,1,exact_value,34.0,~32.5,0,1,1
bar_level1_rep2,bar,1,2,image,sonnet,2,difference,33.0,"~30 (1. mérés ~62.5, 3. mérés ~32.5, különbség ~30)",0,0,1
bar_level1_rep2,bar,1,2,image,sonnet,3,extremum,2. mérés,2. mérés (~63),1,1,1
bar_level1_rep2,bar,1,2,image,sonnet,4,aggregate,50.0,~47.1 ((62.5 + 63 + 32.5 + 30.5) / 4),0,0,1
bar_level2_rep1,bar,2,1,image,claude-sonnet-4-5,1,exact_value,70.0,70 V,1,1,1
bar_level2_rep1,bar,2,1,image,claude-sonnet-4-5,2,difference,12.0,12 V,1,1,1
bar_level2_rep1,bar,2,1,image,claude-sonnet-4-5,3,extremum,3. mérés,3. mérés,1,1,1
bar_level2_rep1,bar,2,1,image,claude-sonnet-4-5,4,aggregate,66.0,66 V,1,1,1
bar_level2_rep1,bar,2,1,image,haiku,1,exact_value,70.0,70,1,1,1
bar_level2_rep1,bar,2,1,image,haiku,2,difference,12.0,13,0,0,1
bar_level2_rep1,bar,2,1,image,haiku,3,extremum,3. mérés,5. mérés,0,0,1
bar_level2_rep1,bar,2,1,image,haiku,4,aggregate,66.0,66,1,1,1
bar_level2_rep1,bar,2,1,image,opus,1,exact_value,70.0,70 V,1,1,1
bar_level2_rep1,bar,2,1,image,opus,2,difference,12.0,12 V (70 V és 58 V),1,1,1
bar_level2_rep1,bar,2,1,image,opus,3,extremum,3. mérés,"Holtverseny: A minta, 3. mérés és A minta, 5. mérés (mindkettő 82 V)",1,1,1
bar_level2_rep1,bar,2,1,image,opus,4,aggregate,66.0,66 V,1,1,1
bar_level2_rep1,bar,2,1,image,sonnet,1,exact_value,70.0,70,1,1,1
bar_level2_rep1,bar,2,1,image,sonnet,2,difference,12.0,12,1,1,1
bar_level2_rep1,bar,2,1,image,sonnet,3,extremum,3. mérés,"A minta, 5. mérés",0,0,1
bar_level2_rep1,bar,2,1,image,sonnet,4,aggregate,66.0,66,1,1,1
bar_level2_rep2,bar,2,2,image,claude-sonnet-4-5,1,exact_value,90.0,95,0,0,1
bar_level2_rep2,bar,2,2,image,claude-sonnet-4-5,2,difference,36.0,41,0,0,1
bar_level2_rep2,bar,2,2,image,claude-sonnet-4-5,3,extremum,2. mérés,2. mérés,1,1,1
bar_level2_rep2,bar,2,2,image,claude-sonnet-4-5,4,aggregate,61.3,62.43,0,1,1
bar_level2_rep2,bar,2,2,image,haiku,1,exact_value,90.0,90,1,1,1
bar_level2_rep2,bar,2,2,image,haiku,2,difference,36.0,36,1,1,1
bar_level2_rep2,bar,2,2,image,haiku,3,extremum,2. mérés,2. mérés,1,1,1
bar_level2_rep2,bar,2,2,image,haiku,4,aggregate,61.3,"61,7",0,1,1
bar_level2_rep2,bar,2,2,image,opus,1,exact_value,90.0,90 V,1,1,1
